key,name,description,attached to,layer,type,kind,url
humanities,Humanities,,,0,,group,https://en.wikipedia.org/wiki/Humanities
humanities.visual-arts.architecture.architectural-analytics,Architectural analytics,,key:humanities.visual-arts.architecture|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Architectural_analytics
humanities.visual-arts.architecture.historic-preservation,Historic preservation,,key:humanities.visual-arts.architecture|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Historic_preservation
humanities.visual-arts.architecture.interior-design-interior-architecture,Interior design (interior architecture),,key:humanities.visual-arts.architecture|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Interior_design
humanities.visual-arts.architecture.technical-drawing,Technical drawing,,key:humanities.visual-arts.architecture|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Technical_drawing
humanities.visual-arts.art-director,Art director,,Visual arts|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Art_director
humanities.visual-arts.calligraphy,Calligraphy,,Visual arts|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Calligraphy
humanities.visual-arts.craft,Craft,,Visual arts|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Craft
humanities.visual-arts.fashion,Fashion,,Visual arts|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Fashion
humanities.visual-arts.fine-arts,Fine arts,,Visual arts|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Fine_arts
humanities.visual-arts.fine-arts.graphic-arts,Graphic arts,,Fine arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Graphic_arts
humanities.visual-arts.fine-arts.graphic-arts.drawing,Drawing,,Graphic arts|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/Drawing
humanities.visual-arts.fine-arts.graphic-arts.painting,Painting,,Graphic arts|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/Painting
humanities.visual-arts.fine-arts.graphic-arts.photography,Photography,,Graphic arts|0,4,S,subdiscipline,https://en.wikipedia.org/wiki/Photography
humanities.visual-arts.fine-arts.sculpture,Sculpture,,Fine arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Sculpture
humanities.visual-arts.textile-arts,Textile arts,,Visual arts|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Textile_arts
humanities.visual-arts.mixed-media,Mixed media,,Visual arts|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Mixed_media
humanities.visual-arts.printmaking,Printmaking,,Visual arts|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Printmaking
humanities.visual-arts.studio-art,Studio art,,Visual arts|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Studio_art
humanities.visual-arts.graphic-design,Graphic design,,Visual arts|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Graphic_design
humanities.visual-arts.culinary-arts,Culinary Arts,,Visual arts|0,2,S,subdiscipline,https://en.wikipedia.org/wiki/Culinary_Arts
humanities.visual-arts.culinary-arts.acquired-taste,Acquired taste,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Acquired_taste
humanities.visual-arts.culinary-arts.aftertaste,Aftertaste,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Aftertaste
humanities.visual-arts.culinary-arts.appetite,Appetite,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Appetite
humanities.visual-arts.culinary-arts.artisanal-food,Artisanal food,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Artisanal_food
humanities.visual-arts.culinary-arts.cooking,Cooking,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Cooking
humanities.visual-arts.culinary-arts.cuisine,Cuisine,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Cuisine
humanities.visual-arts.culinary-arts.culinary-arts,Culinary arts,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Culinary_arts
humanities.visual-arts.culinary-arts.culinary-tourism,Culinary tourism,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Culinary_tourism
humanities.visual-arts.culinary-arts.delicacy,Delicacy,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Delicacy
humanities.visual-arts.culinary-arts.diet,Diet,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Diet_(nutrition)
humanities.visual-arts.culinary-arts.flavor,Flavor,,Culinary Arts|0,3,S,subdiscipline,https://en.wikipedia.org/wiki/Flavor_(taste)
