key,name,description,attached to,layer,type,url
social-science.political-science.public-policy.economic-policy,Economic policy,,key:social-science.political-science.public-policy|0,5,S,https://en.wikipedia.org/wiki/Economic_policy
social-science.political-science.public-policy.economic-policy.fiscal-policy,Fiscal policy,,Economic policy|0,6,S,https://en.wikipedia.org/wiki/Fiscal_policy
social-science.political-science.public-policy.economic-policy.incomes-policy,Incomes policy,,Economic policy|0,6,S,https://en.wikipedia.org/wiki/Incomes_policy
social-science.political-science.public-policy.economic-policy.industrial-policy,Industrial policy,,Economic policy|0,6,S,https://en.wikipedia.org/wiki/Industrial_policy
social-science.political-science.public-policy.economic-policy.investment-policy,Investment policy,,Economic policy|0,6,S,https://en.wikipedia.org/wiki/Investment_policy
social-science.political-science.public-policy.economic-policy.monetary-policy,Monetary policy,,Economic policy|0,6,S,https://en.wikipedia.org/wiki/Monetary_policy
social-science.political-science.public-policy.economic-policy.tax-policy,Tax policy,,Economic policy|0,6,S,https://en.wikipedia.org/wiki/Tax_policy
social-science.political-science.public-policy.education-policy,Education policy,,key:social-science.political-science.public-policy|0,5,S,https://en.wikipedia.org/wiki/Education_policy
social-science.political-science.public-policy.energy-policy,Energy policy,,key:social-science.political-science.public-policy|0,5,S,https://en.wikipedia.org/wiki/Energy_policy
social-science.political-science.public-policy.energy-policy.nuclear-energy-policy,Nuclear energy policy,,Energy policy|0,6,S,https://en.wikipedia.org/wiki/Nuclear_energy_policy
social-science.political-science.public-policy.energy-policy.renewable-energy-policy,Renewable energy policy,,Energy policy|0,6,S,https://en.wikipedia.org/wiki/Renewable_energy_policy
social-science.political-science.public-policy.environmental-policy,Environmental policy,,key:social-science.political-science.public-policy|0,5,S,https://en.wikipedia.org/wiki/Environmental_policy
social-science.political-science.public-policy.food-policy,Food policy,,key:social-science.political-science.public-policy|0,5,S,https://en.wikipedia.org/wiki/Food_policy
social-science.political-science.public-policy.foreign-policy,Foreign policy,,key:social-science.political-science.public-policy|0,5,S,https://en.wikipedia.org/wiki/Foreign_policy
social-science.political-science.public-policy.governance,Governance,,key:social-science.political-science.public-policy|0,5,S,https://en.wikipedia.org/wiki/Governance
social-science.political-science.public-policy.health-policy,Health policy,,key:social-science.political-science.public-policy|0,5,S,https://en.wikipedia.org/wiki/Health_policy
social-science.political-science.public-policy.health-policy.pharmaceutical-policy,Pharmaceutical policy,,Health policy|0,6,S,https://en.wikipedia.org/wiki/Pharmaceutical_policy
social-science.political-science.public-policy.health-policy.vaccination-policy,Vaccination policy,,Health policy|0,6,S,https://en.wikipedia.org/wiki/Vaccination_policy
social-science.political-science.public-policy.housing-policy,Housing policy,,key:social-science.political-science.public-policy|0,5,S,https://en.wikipedia.org/wiki/Housing_policy
social-science.political-science.public-policy.immigration-policy,Immigration policy,,key:social-science.political-science.public-policy|0,5,S,https://en.wikipedia.org/wiki/Immigration_policy
social-science.political-science.public-policy.knowledge-policy,Knowledge policy,,key:social-science.political-science.public-policy|0,5,S,https://en.wikipedia.org/wiki/Knowledge_policy
social-science.political-science.public-policy.language-policy,Language policy,,key:social-science.political-science.public-policy|0,5,S,https://en.wikipedia.org/wiki/Language_policy
social-science.political-science.public-policy.military-policy,Military policy,,key:social-science.political-science.public-policy|0,5,S,https://en.wikipedia.org/wiki/Military_policy
social-science.political-science.public-policy.science-policy,Science policy,,key:social-science.political-science.public-policy|0,5,S,https://en.wikipedia.org/wiki/Science_policy
social-science.political-science.public-policy.science-policy.climate-change-policy,Climate change policy,,Science policy|0,6,S,https://en.wikipedia.org/wiki/Climate_change_policy
social-science.political-science.public-policy.science-policy.stem-cell-research-policy,Stem cell research policy,,Science policy|0,6,S,https://en.wikipedia.org/wiki/Stem_cell_research_policy
social-science.political-science.public-policy.science-policy.space-policy,Space policy,,Science policy|0,6,S,https://en.wikipedia.org/wiki/Space_policy
