topicID,urlNr,url
MTH1,1,https://en.wikipedia.org/wiki/Methodology
MTR3,1,https://en.wikipedia.org/wiki/Metrology
MIN1,1,https://en.wikipedia.org/wiki/Mineralogy
MOB1,1,https://en.wikipedia.org/wiki/Molecular_biology
MOR2,1,https://en.wikipedia.org/wiki/Morphometrics
MSC2,1,https://en.wikipedia.org/wiki/Muscology
MSE1,1,https://en.wikipedia.org/wiki/Museology
MYC1,1,https://en.wikipedia.org/wiki/Mycology
NAN1,1,https://en.wikipedia.org/wiki/Nanotechnology
NEM1,1,https://en.wikipedia.org/wiki/Nematology
NRS1,1,https://en.wikipedia.org/wiki/Neuroscience
NOS1,1,https://en.wikipedia.org/wiki/Nosology
NUS1,1,https://en.wikipedia.org/wiki/Trophology
OBS1,1,https://en.wikipedia.org/wiki/Obstetrics
OCE1,1,https://en.wikipedia.org/wiki/Oceanography
OEN1,1,https://en.wikipedia.org/wiki/Oenology
ONC1,1,https://en.wikipedia.org/wiki/Oncology
ONO2,1,https://en.wikipedia.org/wiki/Onomasiology
ONT1,1,https://en.wikipedia.org/wiki/Ontology
OPH1,1,https://en.wikipedia.org/wiki/Ophthalmology
OPT2,1,https://en.wikipedia.org/wiki/Optometry
ORM1,1,https://en.wikipedia.org/wiki/Orbital_mechanics
ORC2,1,https://en.wikipedia.org/wiki/Orchidology
ORG1,1,https://en.wikipedia.org/wiki/Organology
ORN1,1,https://en.wikipedia.org/wiki/Ornithology
ORO1,1,https://en.wikipedia.org/wiki/Orology
OTO1,1,https://en.wikipedia.org/wiki/Otology
PLN1,1,https://en.wikipedia.org/wiki/Palaeontology
PAL1,1,https://en.wikipedia.org/wiki/Palynology
PSI1,1,https://en.wikipedia.org/wiki/Parasitology
PAT1,1,https://en.wikipedia.org/wiki/Pathology
PDG1,1,https://en.wikipedia.org/wiki/Pedagogy
PED2,1,https://en.wikipedia.org/wiki/Pedology
PET1,1,https://en.wikipedia.org/wiki/Petrology
PHC1,1,https://en.wikipedia.org/wiki/Pharmacology
PHA1,1,https://en.wikipedia.org/wiki/Pharology
PTB1,1,https://en.wikipedia.org/wiki/Photobiology
PTN1,1,https://en.wikipedia.org/wiki/Photonics
PYC1,1,https://en.wikipedia.org/wiki/Phycology
PYS2,1,https://en.wikipedia.org/wiki/Physiology
PLS1,1,https://en.wikipedia.org/wiki/Planetary_science
PNE1,1,https://en.wikipedia.org/wiki/Pneumatics
PNE2,1,https://en.wikipedia.org/wiki/Pneumonology
POS2,1,https://en.wikipedia.org/wiki/Political_science
PRA1,1,https://en.wikipedia.org/wiki/Pragmatics
PRI1,1,https://en.wikipedia.org/wiki/Printmaking
PRO1,1,https://en.wikipedia.org/wiki/Protistology
PRO2,1,https://en.wikipedia.org/wiki/Proxemics
PYG1,1,https://en.wikipedia.org/wiki/Psychogenetics
PTE1,1,https://en.wikipedia.org/wiki/Pteridology
PHE2,1,https://en.wikipedia.org/wiki/Public_health
PYG2,1,https://en.wikipedia.org/wiki/Pyrography
PYT1,1,https://en.wikipedia.org/wiki/Pyrotechnics
QCO1,1,https://en.wikipedia.org/wiki/Quantum_computing
RAD2,1,https://en.wikipedia.org/wiki/Radiobiology
SCA1,1,https://en.wikipedia.org/wiki/Scatology
SCI1,1,https://en.wikipedia.org/wiki/Sciagraphy
SCO1,1,https://en.wikipedia.org/wiki/Science_communication
SED1,1,https://en.wikipedia.org/wiki/Sedimentology
SEI1,1,https://en.wikipedia.org/wiki/Seismology
SEM2,1,https://en.wikipedia.org/wiki/Semasiology
SEX1,1,https://en.wikipedia.org/wiki/Sexology
SOS2,1,https://en.wikipedia.org/wiki/Social_science
SCB1,1,https://en.wikipedia.org/wiki/Sociobiology
SCL2,1,https://en.wikipedia.org/wiki/Sociolinguistics
SOM1,1,https://en.wikipedia.org/wiki/Solid_mechanics
SPL1,1,https://en.wikipedia.org/wiki/Speleology
SPR2,1,https://en.wikipedia.org/wiki/Seed
SAS1,1,https://en.wikipedia.org/wiki/Stellar_astronomy
STE2,1,https://en.wikipedia.org/wiki/Stemmatics
STR1,1,https://en.wikipedia.org/wiki/Stratigraphy
STY1,1,https://en.wikipedia.org/wiki/Stylometry
SUC1,1,https://en.wikipedia.org/wiki/Supramolecular_chemistry
SUR1,1,https://en.wikipedia.org/wiki/Surgery
SYB1,1,https://en.wikipedia.org/wiki/Synthetic_biology
SYE1,1,https://en.wikipedia.org/wiki/Systems_engineering
SYS1,1,https://en.wikipedia.org/wiki/Systems_science
TEC2,1,https://en.wikipedia.org/wiki/Tectonics
TER1,1,https://en.wikipedia.org/wiki/Teratology
TEX1,1,https://en.wikipedia.org/wiki/Textual_criticism
THA1,1,https://en.wikipedia.org/wiki/Thanatology
THA2,1,https://en.wikipedia.org/wiki/Thaumatology
THS1,1,https://en.wikipedia.org/wiki/Therapy
TEL2,1,https://en.wikipedia.org/wiki/Thermology
TPG1,1,https://en.wikipedia.org/wiki/Topography
TOX1,1,https://en.wikipedia.org/wiki/Toxicology
URA1,1,https://en.wikipedia.org/wiki/Uranology
UPL1,1,https://en.wikipedia.org/wiki/Urban_planning
URO1,1,https://en.wikipedia.org/wiki/Urogynecology
VME1,1,https://en.wikipedia.org/wiki/Veterinary_medicine
VIR1,1,https://en.wikipedia.org/wiki/Virology
VOL1,1,https://en.wikipedia.org/wiki/Volcanology
XYL1,1,https://en.wikipedia.org/wiki/Xylology
ZGE1,1,https://en.wikipedia.org/wiki/Zoogeography
ZTA1,1,https://en.wikipedia.org/wiki/Zootaxy
ZYM1,1,https://en.wikipedia.org/wiki/Zymology
ZYM2,1,https://en.wikipedia.org/wiki/Zymurgy
ZYT1,1,https://en.wikipedia.org/wiki/Zythology
ACA3,1,https://en.wikipedia.org/wiki/Acarology
ACE1,1,https://en.wikipedia.org/wiki/Aceology
AEN1,1,https://en.wikipedia.org/wiki/Aeronautics
AGC1,1,https://en.wikipedia.org/wiki/Agricultural_chemistry
AGE1,1,https://en.wikipedia.org/wiki/Agroecology
AGN3,1,https://en.wikipedia.org/wiki/Agronomics
ALG2,1,https://en.wikipedia.org/wiki/Algedonics
ALL1,1,https://en.wikipedia.org/wiki/Allergology
ANA2,1,https://en.wikipedia.org/wiki/Anaesthesiology
AND2,1,https://en.wikipedia.org/wiki/Andragogy
ANE1,1,https://en.wikipedia.org/wiki/Anemology
ANT1,1,https://en.wikipedia.org/wiki/Anthropology
AEC1,1,https://en.wikipedia.org/wiki/Aquatic_ecology
ARO1,1,https://en.wikipedia.org/wiki/Archology
ARE2,1,https://en.wikipedia.org/wiki/Areology
ARO2,1,https://en.wikipedia.org/wiki/Aromachology
AST3,1,https://en.wikipedia.org/wiki/Astheniology
ASB2,1,https://en.wikipedia.org/wiki/Astrobotany
ASN2,1,https://en.wikipedia.org/wiki/Astronautics
AUT3,1,https://en.wikipedia.org/wiki/Autecology
BAL1,1,https://en.wikipedia.org/wiki/Ballistics
BAL2,1,https://en.wikipedia.org/wiki/Balneology
BAT2,1,https://en.wikipedia.org/wiki/Bathymetry
BAT3,1,https://en.wikipedia.org/wiki/Batrachology
BNR1,1,https://en.wikipedia.org/wiki/Behavioral_neuroscience
BOE1,1,https://en.wikipedia.org/wiki/Bioecology
BOM2,1,https://en.wikipedia.org/wiki/Biomechanics
BON1,1,https://en.wikipedia.org/wiki/Bionomics
BOP2,1,https://en.wikipedia.org/wiki/Biopsychology
BOT2,1,https://en.wikipedia.org/wiki/Biotribology
BRY1,1,https://en.wikipedia.org/wiki/Bryology
BUS1,1,https://en.wikipedia.org/wiki/Business_studies
CAL2,1,https://en.wikipedia.org/wiki/Caliology
CAM2,1,https://en.wikipedia.org/wiki/Campanology
CRL1,1,https://en.wikipedia.org/wiki/Cardiology
CAT2,1,https://en.wikipedia.org/wiki/Catallactics
CET1,1,https://en.wikipedia.org/wiki/Cetology
CHI2,1,https://en.wikipedia.org/wiki/Chiropody
CHO2,1,https://en.wikipedia.org/wiki/Chorology
CHR3,1,https://en.wikipedia.org/wiki/Chrematistics
CRB1,1,https://en.wikipedia.org/wiki/Chronobiology
CIV1,1,https://en.wikipedia.org/wiki/Civics
CGS1,1,https://en.wikipedia.org/wiki/Cognitive_science
COL1,1,https://en.wikipedia.org/wiki/Coleopterology
CON2,1,https://en.wikipedia.org/wiki/Conchology
CON3,1,https://en.wikipedia.org/wiki/Connectomics
COM2,1,https://en.wikipedia.org/wiki/Contact_mechanics
CUS2,1,https://en.wikipedia.org/wiki/Curriculum_studies
CYB1,1,https://en.wikipedia.org/wiki/Cybernetics
DAC2,1,https://en.wikipedia.org/wiki/Dactylography
DAC3,1,https://en.wikipedia.org/wiki/Dactylology
DEM1,1,https://en.wikipedia.org/wiki/Demography
DEN2,1,https://en.wikipedia.org/wiki/Dendrochronology
DEN3,1,https://en.wikipedia.org/wiki/Dendrology
DER1,1,https://en.wikipedia.org/wiki/Dermatoglyphics
DER2,1,https://en.wikipedia.org/wiki/Dermatology
DES1,1,https://en.wikipedia.org/wiki/Desmology
DMT1,1,https://en.wikipedia.org/wiki/Didactic_method
DIE1,1,https://en.wikipedia.org/wiki/Dietetics
DIP1,1,https://en.wikipedia.org/wiki/Diplomatics
ECC1,1,https://en.wikipedia.org/wiki/Eccrinology
EKI1,1,https://en.wikipedia.org/wiki/Ekistics
ELD1,1,https://en.wikipedia.org/wiki/Electrodynamics
ELH1,1,https://en.wikipedia.org/wiki/Electrohydrodynamics
ELM1,1,https://en.wikipedia.org/wiki/Electromagnetism
ELS1,1,https://en.wikipedia.org/wiki/Electrostatics
ENS2,1,https://en.wikipedia.org/wiki/Environmental_science
EPH1,1,https://en.wikipedia.org/wiki/Ephebiatrics
ESC1,1,https://en.wikipedia.org/wiki/Escapology
ETH3,1,https://en.wikipedia.org/wiki/Ethonomics
ETI1,1,https://en.wikipedia.org/wiki/Etiology
EUT1,1,https://en.wikipedia.org/wiki/Euthenics
EXO2,1,https://en.wikipedia.org/wiki/Exoplanetology
