playlist_id,language_code,title,description
FL9-y-6csu5WGm29I7JiwpnA,sl,Priljubljene,
FL9-y-6csu5WGm29I7JiwpnA,sr,Омиљено,
FL9-y-6csu5WGm29I7JiwpnA,sv,Favoriter,
FL9-y-6csu5WGm29I7JiwpnA,sw,Vipendwa,
FL9-y-6csu5WGm29I7JiwpnA,ta,பிடித்தவை,
FL9-y-6csu5WGm29I7JiwpnA,te,ఇష్టమైనవి,
FL9-y-6csu5WGm29I7JiwpnA,th,รายการโปรด,
FL9-y-6csu5WGm29I7JiwpnA,tr,Favoriler,
FL9-y-6csu5WGm29I7JiwpnA,uk,Вибране,
FL9-y-6csu5WGm29I7JiwpnA,ur,پسندیدہ,
FL9-y-6csu5WGm29I7JiwpnA,vi,Video yêu thích,
FL9-y-6csu5WGm29I7JiwpnA,zh-CN,收藏的视频,
FL9-y-6csu5WGm29I7JiwpnA,zh-HK,收藏,
FL9-y-6csu5WGm29I7JiwpnA,zh-TW,收藏的影片,
FL9-y-6csu5WGm29I7JiwpnA,zu,Izintandokazi,
FL8VkNBOwvsTlFjoSnNSMmxw,af,Gunstelinge,
FL8VkNBOwvsTlFjoSnNSMmxw,am,ተወዳጆች,
FL8VkNBOwvsTlFjoSnNSMmxw,ar,المفضلة,
FL8VkNBOwvsTlFjoSnNSMmxw,bg,Любими,
FL8VkNBOwvsTlFjoSnNSMmxw,bn,পছন্দগুলি,
FL8VkNBOwvsTlFjoSnNSMmxw,ca,Preferits,
FL8VkNBOwvsTlFjoSnNSMmxw,cs,Oblíbené,
FL8VkNBOwvsTlFjoSnNSMmxw,da,Foretrukne,
FL8VkNBOwvsTlFjoSnNSMmxw,de,Favoriten,
FL8VkNBOwvsTlFjoSnNSMmxw,el,Αγαπημένα,
FL8VkNBOwvsTlFjoSnNSMmxw,en,Favorites,
FL8VkNBOwvsTlFjoSnNSMmxw,en-GB,Favourites,
FL8VkNBOwvsTlFjoSnNSMmxw,en-XA,[Fåvöŕîţéš one],
FL8VkNBOwvsTlFjoSnNSMmxw,es,Favoritos,
FL8VkNBOwvsTlFjoSnNSMmxw,es-419,Favoritos,
FL8VkNBOwvsTlFjoSnNSMmxw,et,Lemmikud,
FL8VkNBOwvsTlFjoSnNSMmxw,eu,Gogokoak,
FL8VkNBOwvsTlFjoSnNSMmxw,fa,موارد دلخواه,
FL8VkNBOwvsTlFjoSnNSMmxw,fi,Suosikit,
FL8VkNBOwvsTlFjoSnNSMmxw,fil,Mga Paborito,
FL8VkNBOwvsTlFjoSnNSMmxw,fr,Favoris,
FL8VkNBOwvsTlFjoSnNSMmxw,fr-CA,Favoris,
FL8VkNBOwvsTlFjoSnNSMmxw,gl,Favoritos,
FL8VkNBOwvsTlFjoSnNSMmxw,gu,મનપસંદ,
FL8VkNBOwvsTlFjoSnNSMmxw,hi,पसंदीदा,
FL8VkNBOwvsTlFjoSnNSMmxw,hr,Favoriti,
FL8VkNBOwvsTlFjoSnNSMmxw,hu,Kedvencek,
FL8VkNBOwvsTlFjoSnNSMmxw,id,Favorit,
FL8VkNBOwvsTlFjoSnNSMmxw,is,Eftirlæti,
FL8VkNBOwvsTlFjoSnNSMmxw,it,Preferiti,
FL8VkNBOwvsTlFjoSnNSMmxw,iw,מועדפים,
FL8VkNBOwvsTlFjoSnNSMmxw,ja,お気に入り,
FL8VkNBOwvsTlFjoSnNSMmxw,kn,ಮೆಚ್ಚಿನವುಗಳು,
FL8VkNBOwvsTlFjoSnNSMmxw,ko,즐겨찾기,
FL8VkNBOwvsTlFjoSnNSMmxw,lt,Mėgstamiausi,
FL8VkNBOwvsTlFjoSnNSMmxw,lv,Izlase,
FL8VkNBOwvsTlFjoSnNSMmxw,ml,പ്രിയപ്പെട്ടവ,
FL8VkNBOwvsTlFjoSnNSMmxw,mr,आवडी,
FL8VkNBOwvsTlFjoSnNSMmxw,ms,Kegemaran,
FL8VkNBOwvsTlFjoSnNSMmxw,nl,Favorieten,
FL8VkNBOwvsTlFjoSnNSMmxw,no,Favoritter,
FL8VkNBOwvsTlFjoSnNSMmxw,pl,Ulubione,
FL8VkNBOwvsTlFjoSnNSMmxw,pt,Favoritos,
FL8VkNBOwvsTlFjoSnNSMmxw,pt-PT,Favoritos,
FL8VkNBOwvsTlFjoSnNSMmxw,ro,Preferate,
FL8VkNBOwvsTlFjoSnNSMmxw,ru,Избранное,
FL8VkNBOwvsTlFjoSnNSMmxw,sk,Obľúbené,
FL8VkNBOwvsTlFjoSnNSMmxw,sl,Priljubljene,
FL8VkNBOwvsTlFjoSnNSMmxw,sr,Омиљено,
FL8VkNBOwvsTlFjoSnNSMmxw,sv,Favoriter,
FL8VkNBOwvsTlFjoSnNSMmxw,sw,Vipendwa,
FL8VkNBOwvsTlFjoSnNSMmxw,ta,பிடித்தவை,
FL8VkNBOwvsTlFjoSnNSMmxw,te,ఇష్టమైనవి,
FL8VkNBOwvsTlFjoSnNSMmxw,th,รายการโปรด,
FL8VkNBOwvsTlFjoSnNSMmxw,tr,Favoriler,
FL8VkNBOwvsTlFjoSnNSMmxw,uk,Вибране,
FL8VkNBOwvsTlFjoSnNSMmxw,ur,پسندیدہ,
FL8VkNBOwvsTlFjoSnNSMmxw,vi,Video yêu thích,
FL8VkNBOwvsTlFjoSnNSMmxw,zh-CN,收藏的视频,
FL8VkNBOwvsTlFjoSnNSMmxw,zh-HK,收藏,
FL8VkNBOwvsTlFjoSnNSMmxw,zh-TW,收藏的影片,
FL8VkNBOwvsTlFjoSnNSMmxw,zu,Izintandokazi,
FL_TamoS5Wzm6gsWjSJ5LZ6A,af,Gunstelinge,
FL_TamoS5Wzm6gsWjSJ5LZ6A,am,ተወዳጆች,
FL_TamoS5Wzm6gsWjSJ5LZ6A,ar,المفضلة,
FL_TamoS5Wzm6gsWjSJ5LZ6A,bg,Любими,
FL_TamoS5Wzm6gsWjSJ5LZ6A,bn,পছন্দগুলি,
FL_TamoS5Wzm6gsWjSJ5LZ6A,ca,Preferits,
FL_TamoS5Wzm6gsWjSJ5LZ6A,cs,Oblíbené,
FL_TamoS5Wzm6gsWjSJ5LZ6A,da,Foretrukne,
FL_TamoS5Wzm6gsWjSJ5LZ6A,de,Favoriten,
FL_TamoS5Wzm6gsWjSJ5LZ6A,el,Αγαπημένα,
FL_TamoS5Wzm6gsWjSJ5LZ6A,en,Favorites,
FL_TamoS5Wzm6gsWjSJ5LZ6A,en-GB,Favourites,
FL_TamoS5Wzm6gsWjSJ5LZ6A,en-XA,[Fåvöŕîţéš one],
FL_TamoS5Wzm6gsWjSJ5LZ6A,es,Favoritos,
FL_TamoS5Wzm6gsWjSJ5LZ6A,es-419,Favoritos,
FL_TamoS5Wzm6gsWjSJ5LZ6A,et,Lemmikud,
FL_TamoS5Wzm6gsWjSJ5LZ6A,eu,Gogokoak,
FL_TamoS5Wzm6gsWjSJ5LZ6A,fa,موارد دلخواه,
FL_TamoS5Wzm6gsWjSJ5LZ6A,fi,Suosikit,
FL_TamoS5Wzm6gsWjSJ5LZ6A,fil,Mga Paborito,
FL_TamoS5Wzm6gsWjSJ5LZ6A,fr,Favoris,
FL_TamoS5Wzm6gsWjSJ5LZ6A,fr-CA,Favoris,
FL_TamoS5Wzm6gsWjSJ5LZ6A,gl,Favoritos,
FL_TamoS5Wzm6gsWjSJ5LZ6A,gu,મનપસંદ,
FL_TamoS5Wzm6gsWjSJ5LZ6A,hi,पसंदीदा,
FL_TamoS5Wzm6gsWjSJ5LZ6A,hr,Favoriti,
FL_TamoS5Wzm6gsWjSJ5LZ6A,hu,Kedvencek,
FL_TamoS5Wzm6gsWjSJ5LZ6A,id,Favorit,
FL_TamoS5Wzm6gsWjSJ5LZ6A,is,Eftirlæti,
FL_TamoS5Wzm6gsWjSJ5LZ6A,it,Preferiti,
FL_TamoS5Wzm6gsWjSJ5LZ6A,iw,מועדפים,
FL_TamoS5Wzm6gsWjSJ5LZ6A,ja,お気に入り,
FL_TamoS5Wzm6gsWjSJ5LZ6A,kn,ಮೆಚ್ಚಿನವುಗಳು,
FL_TamoS5Wzm6gsWjSJ5LZ6A,ko,즐겨찾기,
FL_TamoS5Wzm6gsWjSJ5LZ6A,lt,Mėgstamiausi,
FL_TamoS5Wzm6gsWjSJ5LZ6A,lv,Izlase,
FL_TamoS5Wzm6gsWjSJ5LZ6A,ml,പ്രിയപ്പെട്ടവ,
FL_TamoS5Wzm6gsWjSJ5LZ6A,mr,आवडी,
FL_TamoS5Wzm6gsWjSJ5LZ6A,ms,Kegemaran,
FL_TamoS5Wzm6gsWjSJ5LZ6A,nl,Favorieten,
